Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU,VI
ch1_customer2,Ada tambahan lain?,ch1_customer2_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,Anything else?,他に何かご注文は？,,다른 건 더 있나요?,还需要别的吗？,Möchten Sie sonst noch etwas?,คุณต้องการอะไรเพิ่มไหมครับ?,May iba pa ba?,Algo mais?,Autre chose?,¿Algo más?,Что-нибудь еще?,Còn gì nữa không ạ?
ch1_customer2_2,Tidak,ch1_customer2_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,Customer,No.,いいえ。,,없습니다.,不用。,Nein.,ไม่ครับ,Hindi.,Não.,Non.,No.,Нет.,Không.
ch1_customer2_3,.,ch1_customer2_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,.,.,,,.,.,.,.,.,.,.,.,.
ch1_customer2_4,..,ch1_customer2_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,..,..,,,..,..,..,..,..,..,..,..,..
ch1_customer2_5,"Totalnya Rp60,000",ch1_customer2_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,That’ll be $3.,合計は3ドルです。,True,총액은 3달러입니다.,总共3美元。,Gesamt: 3 Dollar.,รวมทั้งหมด 3 ดอลลาร์,Magiging $3 iyon.,Serão US$ 3.,Cela fera 3 $.,Eso serán 3 dólares.,Это будет стоить 3 доллара.,Vậy là $3 ạ.
ch1_customer2_6,"Terima kasih banyak, silahkan datang kembali",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,"Thanks, please come again.",ありがとうございます。またお越しください。,,감사합니다. 또 오세요.,谢谢光临，请再来。,Danke. Kommen Sie wieder.,ขอบคุณครับ เชิญมาอีกนะครับ,"Salamat, mangyaring bumalik.","Obrigado, volte sempre.","Merci, à bientôt.","Gracias, por favor vuelve pronto.","Спасибо, приходите еще.","Xin cảm ơn ạ, hẹn gặp lại."
ch1_run,Aku tidak bisa berlari saat ini,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,I can’t run right now.,今は走れない。,,지금은 달릴 수가 없어요.,我现在跑不动。,Ich kann gerade nicht rennen.,ฉันไม่สามารถวิ่งได้ตอนนี้,Hindi ako makatakbo ngayon.,Não posso correr agora.,Je ne peux pas courir en ce moment.,No puedo correr ahora mismo.,Я сейчас не могу бежать.,Giờ mình không thể chạy được.
ch1_mj,"Michael Jayden. Dulu, aku ingin sekali bertemu dengannya… walau hanya sekali",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,"Michael Jayden… Back then, I really wanted to meet him… even just once.",マイケル・ジェイデン。あの時…一度でいいから彼に会いたかった。,,예전엔 한 번이라도 만나고 싶었는데… 설령 한 번이라도 말이야.,迈克尔·杰登。那时候……我真想见他一次，就一次。,"Michael Jayden. Damals… ich wollte ihn so sehr sehen, wenigstens einmal.",ไมเคิล เจย์เดน ตอนนั้น… ฉันอยากเจอเขามาก แค่สักครั้งก็ยังดี,"Michael Jayden... Noon, gusto ko talaga siyang makilala... kahit isang beses lang.","Michael Jayden… Naquela época, eu realmente queria conhecê-lo… mesmo que fosse só uma vez.","Michael Jayden… À l’époque, je voulais vraiment le rencontrer… ne serait-ce qu’une fois.","Michael Jayden… En aquel entonces, realmente quería conocerlo… aunque fuera solo una vez.",Майкл Джейден... Тогда мне очень хотелось с ним встретиться... хотя бы один раз.,Michael Jayden... Ngày đó mình đã rất muốn gặp anh ấy.. chỉ một lần thôi cũng được.
ch1_car,Mobil rusak seperti ini… aku tidak terlalu ingin melihatnya,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,A broken car like this... I don’t want to look at it.,こんな壊れた車…見たくもない。,,망가진 차는… 솔직히 보고 싶지 않아.,这样一辆破车……我宁愿不看它。,So ein kaputtes Auto… das will ich lieber nicht ansehen.,รถพังแบบนี้… ฉันไม่อยากมองเลย,Sirang kotse na ganito... Ayokong tingnan.,Um carro quebrado como esse... Não quero olhar para ele.,Une voiture cassée comme celle-ci... Je ne veux pas la regarder.,Un coche roto así... no lo quiero mirar.,Такая сломанная машина... Я не хочу на нее смотреть.,Một cái xe hỏng như thế này.. mình chẳng muốn nhìn nữa.
ch1_first,Aku kerja paruh waktu sebagai kasir di minimarket sambil kuliah,ch1_first2,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',false,,"I work part-time at a convenience store as a cashier, in between classes",勉強しながら、ミニマーケットでレジ係としてアルバイトをしている。,,나는 대학 다니면서 편의점에서 아르바이트를 해.,我一边学习，一边在便利店做兼职收银员。,Ich arbeite neben dem Studium als Kassierer in einem Minimarkt.,ฉันทำงานพาร์ทไทม์เป็นแคชเชียร์ที่มินิมาร์ทระหว่างเรียน,"Nagtatrabaho ako ng part-time sa isang convenience store bilang cashier, sa pagitan ng mga klase","Trabalho meio período em uma loja de conveniência como caixa, entre as aulas","Je travaille à temps partiel dans un dépanneur en tant que caissier, entre les cours","Trabajo a tiempo parcial en una tienda de conveniencia como cajero, entre clases.","Я работаю кассиром в магазине повседневного спроса, в перерывах между занятиями.",Mình làm thu ngân bán thời gian ở cửa hàng tiện lợi giữa các giờ học
ch1_first2,"Bukan hidup yang luar biasa, tapi cukup untuk terus berjalan",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter1_Dialogue.Chapter1_Dialogue',true,,"Nothing special, but it keeps me going",素晴らしい生活ではないけれど…続けるには十分だ。,,"평범하지 않은 삶이지만, 그래도 계속 버텨갈 수 있을 정도는 돼.",这生活不算精彩……但足以让我继续坚持下去。,"Es ist kein großartiges Leben… aber genug, um weiterzumachen.",มันไม่ใช่ชีวิตที่ดีนัก… แต่ก็พอทำให้ก้าวต่อไปได้,"Walang espesyal, ngunit ito ay nagpapanatili sa akin","Nada de especial, mas me mantém firme","Rien de spécial, mais ça me fait avancer","Nada especial, pero me mantiene en marcha.","Ничего особенного, но это помогает мне продолжать","Không có gì đặc biệt lắm, nhưng nó vẫn khiến mình tiếp tục"
