sleep_question,Lewati minum obat?,薬を飲まない？,Skip taking medicine?,약 안 먹을래?,不吃药吗？,Medikament überspringen?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep_yes,"Ya, aku hanya butuh istirahat",うん、ただ休みたいだけ,"Yes, I just need rest","응, 그냥 쉬고 싶어",是的，我只需要休息,"Ja, ich brauche nur Ruhe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep_no,Mungkin aku membutuhkannya,もしかしたら、必要かもしれない,Maybe I do need it,"어쩌면, 필요할지도",也许我确实需要,Vielleicht brauche ich es doch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start,Mulai,始める,Start,시작 ,开始 ,Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select_chapter,Pilih Episode,章を選択,Select Episode,챕터 선택 ,选择章节 ,Kapitel auswählen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
option,Pengaturan,設定,Settings,설정,设置 ,Einstellungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exit_game,Keluar,出口,Exit,게임 종료,退出游戏 ,Spiel beenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language,Bahasa,言語,Language,언어 ,语言,Sprache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
back,Kembali,戻る,Back,돌아가다 ,回,Zurück,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
save,Simpan,保存,Save,저장,保存,Speichern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouse_sensitivity,Sensitivitas Mouse,マウス感度,Mouse Sensitivity,마우스 감도,鼠标灵敏度,Maus-Empfindlichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koran_baru,"NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""2E91F1C84D8F9B746A3A85F93BC1A66F"", ""Pria 21 Tahun Ditemukan Tewas Gantung Diri di Kos Mawar Hitam\r\n\r\nKota Garsik, 14 Oktober 2024 – Warga Kos Mawar Hitam digegerkan oleh penemuan jasad Michael Ryan Santosa (21) pada Senin malam. Korban ditemukan tergantung di dalam kamarnya oleh salah satu penghuni kos.\r\n\r\nMenurut keterangan polisi, tidak ditemukan tanda-tanda kekerasan fisik pada tubuh korban. Di lantai kamar, sebuah bola basket terlihat tergeletak tak jauh dari posisi korban.\r\n\r\nSejumlah tetangga kos menyebut Ryan jarang berinteraksi dan sering terlihat pulang larut malam. “Belakangan dia kelihatan murung, sering melamun sendiri,” ujar salah satu penghuni kos.\r\n\r\nPolisi menduga korban mengalami depresi berat sebelum mengakhiri hidupnya. Kasus ini masih dalam penyelidikan."")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""2E91F1C84D8F9B746A3A85F93BC1A66F"", ""21歳の男性、ブラックローズ寮で首吊り自殺で発見される\r\n\r\nガルシク市、2024年10月14日 – ブラックローズ寮の住人たちは、マイケル・ライアン・サントサさん（21）が月曜の夜に亡くなっているのを発見し、騒然となった。被害者は寮の住人の一人によって、自室で首を吊っている状態で発見された。\r\n\r\n警察の発表によると、遺体に外傷の痕は見つからなかった。部屋の床には、被害者の近くにバスケットボールが置かれていた。\r\n\r\n複数の寮の隣人は、ライアンがあまり人と交流せず、夜遅くに帰宅することが多かったと話す。「最近、彼は憂鬱そうで、一人でぼんやりしていることが多かった」と、寮の住人の一人は語った。\r\n\r\n警察は、被害者が自ら命を絶つ前に重度のうつ病を患っていた可能性があるとみている。この事件は現在も捜査中である。"")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""2E91F1C84D8F9B746A3A85F93BC1A66F"", ""21-Year-Old Man Found Dead by Hanging at Black Rose Boarding House\r\n\r\nGarsik City, October 14, 2024 – Residents of the Black Rose Boarding House were shocked by the discovery of Michael Ryan Santosa (21) on Monday night. The victim was found hanging in his room by one of the boarding house residents.\r\n\r\nAccording to police, there were no signs of physical violence on the victim’s body. On the floor of the room, a basketball was seen lying not far from the victim.\r\n\r\nSeveral neighbors said Ryan rarely interacted with others and was often seen coming home late at night. “Lately, he seemed gloomy and often stared off into space,” said one of the residents.\r\n\r\nPolice suspect the victim may have suffered from severe depression before ending his life. The case is still under investigation."")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""2E91F1C84D8F9B746A3A85F93BC1A66F"", ""21세 남성, 블랙로즈 하숙에서 목 매 자살로 발견\r\n\r\n가르식 시, 2024년 10월 14일 – 블랙로즈 하숙 주민들은 마이클 라이언 산토사(21)가 월요일 밤에 사망한 채 발견되자 충격에 휩싸였다. 피해자는 하숙생 중 한 명에 의해 자신의 방에서 목을 매고 있는 상태로 발견되었다.\r\n\r\n경찰에 따르면, 시신에서는 외부 폭력의 흔적이 발견되지 않았다. 방 바닥에는 피해자 근처에 농구공이 놓여 있었다.\r\n\r\n여러 하숙 이웃들은 라이언이 사람들과 거의 교류하지 않았고, 밤늦게 귀가하는 경우가 많았다고 전했다. “최근 그는 우울해 보였고, 혼자 멍하니 있는 경우가 많았다”고 한 하숙생이 말했다.\r\n\r\n경찰은 피해자가 스스로 목숨을 끊기 전에 심각한 우울증을 겪었을 가능성이 있다고 보고 있다. 이 사건은 현재 조사 중이다."")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""2E91F1C84D8F9B746A3A85F93BC1A66F"", ""一名21岁男子在黑玫瑰宿舍被发现上吊身亡\r\n\r\n加尔西克市，2024年10月14日 – 黑玫瑰宿舍的居民因在周一晚间发现迈克尔·瑞安·桑托萨（21岁）的尸体而震惊。受害者被一名宿舍居民发现在自己的房间内上吊。\r\n\r\n警方表示，受害者身体上没有发现外力暴力的痕迹。房间地板上，一只篮球放在离受害者不远的地方。\r\n\r\n多位邻居表示，瑞安很少与人交流，经常深夜才回家。“最近，他看起来很忧郁，经常独自发呆，”一名居民说道。\r\n\r\n警方怀疑，受害者在结束生命前可能患有严重抑郁症。此案件仍在调查中。"")","NSLOCTEXT(""[5AD89E1724D6A920726631A75D1C3CE3]"", ""2E91F1C84D8F9B746A3A85F93BC1A66F"", ""21-jähriger Mann tot in Black Rose Boarding House durch Erhängen gefunden\r\n\r\nGarsik-Stadt, 14. Oktober 2024 – Die Bewohner des Black Rose Boarding House waren schockiert über die Entdeckung von Michael Ryan Santosa (21) am Montagabend. Das Opfer wurde von einem der Bewohner seines Zimmers hängend aufgefunden.\r\n\r\nLaut Polizei gab es keine Anzeichen von körperlicher Gewalt am Körper des Opfers. Auf dem Boden des Zimmers lag ein Basketball nicht weit vom Opfer entfernt.\r\n\r\nMehrere Nachbarn berichteten, dass Ryan selten mit anderen interagierte und oft spät in der Nacht nach Hause kam. „In letzter Zeit wirkte er düster und starrte oft vor sich hin“, sagte einer der Bewohner.\r\n\r\nDie Polizei vermutet, dass das Opfer vor der Beendigung seines Lebens an schwerer Depression gelitten haben könnte. Der Fall wird weiterhin untersucht."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
