Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU,VI
ch3_sepi,Sepi sekali. Tidak seperti biasanya... ,ch3_sepi2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,So quiet. Not like usual...,とても静かだ。いつもとは違う…,,너무 조용해. 평소랑 전혀 달라…,好安静。不像平常……,So ruhig. Nicht wie sonst…,เงียบมาก ไม่เหมือนปกติ...,Sobrang tahimik. Hindi tulad ng dati...,Tão quieto. Não como sempre...,Tellement calme. Pas comme d'habitude...,Qué silencio. No como siempre...,Так тихо. Не как обычно...,Thật yên tĩnh. Không giống như thường lệ...
ch3_sepi2,mungkin semua orang sedang sibuk bahagia,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,Maybe everyone’s busy enjoying their own happiness.,みんな幸せで忙しいのかもしれない。,,아마 모두들 행복하느라 바쁜가 봐.,也许大家都忙着快乐。,"Vielleicht sind alle beschäftigt damit, glücklich zu sein.",บางทีทุกคนก็ยุ่งอยู่กับความสุขของตัวเอง,Siguro lahat ay abala sa pagtatamasa ng kanilang sariling kaligayahan.,Talvez todos estejam ocupados aproveitando a própria felicidade.,Peut-être que tout le monde est occupé à profiter de son propre bonheur.,Quizás todos estén ocupados disfrutando de su propia felicidad.,"Возможно, каждый занят тем, что наслаждается своим счастьем.",Có lẽ mọi người đều bận rộn tận hưởng hạnh phúc của riêng mình.
ch3_basket2,Itu... bola lagi?,ch3_basket2_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,That sound again... a ball?,あれ…またか？,,또 그… 공 소리야?,那个……又来了？,Das… schon wieder?,เสียงนั้นอีกแล้ว...ลูกบอลเหรอ?,Yung tunog na naman... bola?,Esse som de novo... uma bola?,Encore ce bruit... une balle ?,Ese sonido otra vez...¿una pelota?,Опять этот звук... мяч?,Âm thanh đó nữa... một quả bóng?
ch3_basket2_2,Tapi tidak ada siapa pun di sini,ch3_basket2_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,But no one’s here.,でも、ここには誰もいない。,,근데 여기 아무도 없어.,但是这里没人。,Aber hier ist niemand.,แต่ไม่มีใครอยู่ที่นี่,Pero walang tao dito.,Mas não tem ninguém aqui.,Mais il n’y a personne ici.,Pero no hay nadie aquí.,Но здесь никого нет.,Nhưng không có ai ở đây cả.
ch3_basket2_3,Apa aku mulai berhalusinasi?,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,Am I starting to hallucinate?,幻覚を見始めてるのか？,,내가 환각을 보는 걸까?,我开始产生幻觉了吗？,Fange ich an zu halluzinieren?,ฉันเริ่มจะประสาทหลอนแล้วเหรอ?,Nagsisimula na ba akong mag-hallucinate?,Estou começando a ter alucinações?,Est-ce que je commence à avoir des hallucinations ?,¿Estoy empezando a alucinar?,У меня начинаются галлюцинации?,Tôi có bắt đầu bị ảo giác không?
ch3_welcome_2,"Aku bahkan tidak sempat membereskan hidupku sendiri, apalagi ruangan ini",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,"I can’t even take care of my own life, let alone this room.",自分の生活さえ整理できないのに、この部屋はなおさらだ。,,"나조차 내 삶 정리할 틈도 없는데, 이 방은 또 무슨…",我连自己的生活都整理不好，更别提这个房间了。,"Ich kann nicht einmal mein eigenes Leben in Ordnung bringen, geschweige denn diesen Raum.",ฉันไม่สามารถดูแลชีวิตตัวเองได้เลย แม้แต่ห้องนี้ก็ดูแลไม่ได้,"Ni hindi ko kayang pangalagaan ang sarili kong buhay, lalo pa ang kwartong ito.","Não consigo nem cuidar da minha própria vida, muito menos deste quarto.","Je ne peux même pas prendre soin de ma propre vie, et encore moins de cette pièce.","Ni siquiera puedo cuidar de mi propia vida, y mucho menos de esta habitación.","Я даже о своей жизни не могу позаботиться, не говоря уже об этой комнате.",Tôi thậm chí còn không thể chăm sóc được cuộc sống của mình chứ đừng nói đến căn phòng này.
ch3_deadline,Selesai satu kekacauan... sekarang kembali ke kekacauan yang lain,ch3_deadline_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,One mess cleaned... and now another mess waiting.,一つ片付けたら、すぐにまた散らかる。,,한 혼돈이 끝나면… 또 다른 혼돈이 시작되고.,一处整理好……马上又乱成一团。,Ein Chaos erledigt… direkt ins nächste Chaos.,หนึ่งความยุ่งวุ่นวายถูกกำจัดไปแล้ว... และตอนนี้ความยุ่งวุ่นวายอีกเรื่องกำลังรออยู่,Isang kalat ang nalinis... at ngayon ay isa pang kalat na naghihintay.,Uma bagunça limpa... e agora outra bagunça esperando.,Un désordre nettoyé... et maintenant un autre désordre qui attend.,Un desastre limpiado...y ahora otro desastre esperando.,Один беспорядок убран... и теперь ждет другой беспорядок.,Một mớ hỗn độn đã được dọn sạch... và bây giờ lại có thêm một mớ hỗn độn khác đang chờ đợi.
ch3_deadline_2,"Deadline makin dekat, dan aku masih terjebak di awal",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,"The deadline’s getting closer, but I’m still stuck at the beginning.",締め切りは迫っているのに、まだスタート地点で立ち止まっている。,,"마감은 다가오는데, 나는 아직도 시작조차 못했어.",截止日期越来越近，而我还停在起点。,"Die Deadline rückt näher, und ich stecke immer noch am Anfang fest.",กำหนดเส้นตายกำลังใกล้เข้ามา แต่ฉันยังคงติดอยู่ที่จุดเริ่มต้น,"Malapit na ang deadline, pero stuck pa rin ako sa simula.","O prazo está se aproximando, mas ainda estou preso no começo.","La date limite approche, mais je suis toujours bloqué au début.","La fecha límite se acerca, pero todavía estoy estancado en el principio.","Срок приближается, но я все еще застрял в начале.","Hạn chót đang đến gần, nhưng tôi vẫn còn mắc kẹt ở giai đoạn đầu."
ch3_disturbed,"Belum juga sempat duduk, sudah disambut suara bola lagi.",ch3_disturbed2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,"I barely sit down, and the ball sound starts again.",まだ座ってもいないのに、あのボールはまた跳ねている。,,앉을 틈도 없이 다시 공소리에 깜짝 놀라고.,我还没坐下，那球又弹起来了。,"Ich habe mich noch nicht einmal hingesetzt, und der Ball springt schon wieder.",ฉันแทบไม่ได้นั่งลงเลย แล้วเสียงลูกบอลก็ดังขึ้นอีกครั้ง,"Bahagya akong umupo, at nagsimula na naman ang tunog ng bola.",Mal me sento e o som da bola começa novamente.,A peine m'assieds-je que le bruit de la balle recommence.,"Apenas me siento, y el sonido de la pelota comienza de nuevo.","Едва успеваю сесть, как звук мяча начинается снова.",Tôi vừa ngồi xuống thì tiếng bóng lại vang lên.
ch3_disturbed2,Apa dunia sedang hobi menguji kewarasanku malam ini?,ch3_disturbed3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,Is the world testing my sanity tonight?,今夜、世界は俺の正気を試そうとしているのか？,,오늘 밤 세상이 내 정신을 시험하나?,今晚，世界是在考验我的理智吗？,Will die Welt heute Nacht meinen Verstand testen?,คืนนี้โลกกำลังทดสอบสติของฉันอยู่หรือเปล่า?,Sinusubukan ba ng mundo ang aking katinuan ngayong gabi?,O mundo está testando minha sanidade esta noite?,Le monde teste-t-il ma santé mentale ce soir ?,¿El mundo está poniendo a prueba mi cordura esta noche?,Неужели мир сегодня проверяет мое здравомыслие?,Liệu thế giới có đang thử thách sự tỉnh táo của tôi đêm nay không?
ch3_disturbed3,"Kalau ini caranya, aku akan cari tahu, dan semoga saja bukan hal bodoh lagi.",ch3_disturbed3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,"If this keeps up, I’ll find out. Hopefully it’s not something stupid again.",そうなら、確かめてみよう—お願いだから、またくだらないことじゃないといいけど。,,"이러면 내가 원치 않는 일 찾아내야 할 것 같아, 제발 멍청한 건 아니길.",如果是这样，我就得弄清楚——希望又不是愚蠢的东西。,"Wenn dem so ist, werde ich es herausfinden — hoffentlich ist es nichts Dummes.",ถ้าเป็นแบบนี้ต่อไป ฉันจะหาคำตอบ หวังว่าคงไม่ใช่เรื่องโง่ๆ อีกแล้วนะ,"Kung magpapatuloy ito, malalaman ko. Sana hindi na naman ito katangahan.","Se continuar assim, vou descobrir. Espero que não seja algo idiota de novo.","Si ça continue, je finirai par le savoir. J'espère que ce n'est pas encore une bêtise.","Si esto sigue así, lo averiguaré. Ojalá no sea otra estupidez.","Если так будет продолжаться, я узнаю. Надеюсь, это не какая-нибудь очередная глупость.","Nếu cứ tiếp tục thế này, tôi sẽ tìm ra thôi. Hy vọng là không phải lại có chuyện gì ngu ngốc nữa."
ch3_frommike,Suaranya dari kamar 208...? Itu kan kamarnya Michael,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,The sound came from room 208...? That’s Michael’s room.,音は208号室から…？あれはマイケルの部屋だ。,,소리가 208호에서 났던 건가…? 그 방이 마이클 방이었는데.,声音是从208号房间传来的……？那是迈克尔的房间。,Der Ton kommt aus Zimmer 208…? Das ist Michaels Zimmer.,เสียงดังมาจากห้อง 208 น่ะเหรอ... นั่นห้องของไมเคิลนี่นา,Galing sa room 208 ang tunog...? Iyon ang kwarto ni Michael.,O som veio do quarto 208...? Esse é o quarto do Michael.,Le bruit venait de la chambre 208...? C'est la chambre de Michael.,¿El sonido venía de la habitación 208...? Esa es la habitación de Michael.,Звук доносился из комнаты 208?.. Это комната Майкла.,Âm thanh phát ra từ phòng 208...? Đó là phòng của Michael.
ch3_janiryan1,Sedang apa kamu di sini?,ch3_ryanjani1,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Janitor,What are you doing here?,ここで何をしているんだ？,,지금 여기서 뭐 하고 계세요?,你在这里做什么？,Was machst du hier?,คุณมาทำอะไรที่นี่?,Anong ginagawa mo dito?,O que você está fazendo aqui?,Que faites-vous ici?,¿Qué estás haciendo aquí?,Что ты здесь делаешь?,Bạn đang làm gì ở đây?
ch3_ryanjani1,"Astaga, Pak! Bikin kaget saja...",ch3_janiryan2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,"Whoa, sir! You scared me...",うわっ、びっくりした…,,"아! 아저씨, 깜짝 놀랐어요…",哇，吓了我一跳……,"Whoa, Mann! Du hast mich erschreckt…",โห! คุณทำให้ผมกลัว...,"Aba, sir! Tinakot mo ako...","Nossa, senhor! Você me assustou...","Oh là là, monsieur ! Vous m'avez fait peur...","¡Vaya, señor! ¡Me asustó!","Ого, сэр! Вы меня напугали...","Ôi, thưa ông! Ông làm tôi sợ quá..."
ch3_janiryan2,"Aku sudah memanggil dari tadi, tahu?",ch3_ryanjani2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Janitor,"I’ve been calling you for a while, you know?",ずっと呼んでたんだぞ？,,"아까부터 부르고 있었어요, 아시죠?",我一直在叫你，你知道吗？,"Ich habe schon eine Weile nach dir gerufen, weißt du?",ฉันโทรหาคุณมาสักพักแล้ว คุณรู้ไหม?,"Kanina pa kita tinatawagan, alam mo ba?","Já faz um tempo que estou te ligando, sabia?","Je t’appelle depuis un moment, tu sais ?","Te he estado llamando por un tiempo, ¿sabes?","Я уже некоторое время тебе звоню, понимаешь?","Tôi đã gọi cho bạn một lúc rồi, bạn biết không?"
ch3_ryanjani2,...,ch3_janiryan3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,...,…,,...,…,…,-,...,...,...,...,...,...
ch3_janiryan3,Kenapa? Kelihatan serius sekali. Kau mencari seseorang?,ch3_ryanjani3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Janitor,What’s wrong? You look so serious. Are you looking for someone?,何だ？真剣な顔して。誰かを探してるのか？,,왜 그러세요? 무슨 일 있으세요?,怎么了？你看起来很认真。是在找人吗？,Was ist los? Du siehst so ernst aus. Suchst du jemanden?,เป็นอะไรไปคะ ดูจริงจังมากเลย มองหาใครอยู่เหรอคะ,anong mali? Mukhang seryoso ka. May hinahanap ka ba?,O que houve? Você parece tão sério. Está procurando alguém?,Qu'est-ce qui ne va pas ? Tu as l'air si sérieux. Tu cherches quelqu'un ?,¿Qué pasa? Te ves muy serio. ¿Buscas a alguien?,Что случилось? Ты выглядишь таким серьёзным. Ты кого-то ищешь?,Có chuyện gì vậy? Trông anh nghiêm túc quá. Anh đang tìm ai à?
ch3_ryanjani3,"Iya...keluarga yang tinggal di kamar ini ke mana, ya?",ch3_janiryan4,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,"Yeah... the family who lived here, where are they now?",ああ…この部屋に住んでいる家族はどこだ？,,이 방에 살던 가족분들은 어디로 가셨는지 아세요?,嗯……住在这个房间的家人在哪里？,"Ja… wo ist die Familie, die in diesem Zimmer wohnt?",เออ...ครอบครัวที่เคยอยู่ที่นี่ตอนนี้อยู่ที่ไหน?,"Oo... ang pamilyang nakatira dito, nasaan na sila?","Sim... a família que morava aqui, onde eles estão agora?","Ouais... la famille qui vivait ici, où sont-ils maintenant ?",Si...la familia que vivía aquí ¿donde está ahora?,"Да... семья, которая здесь жила, где они сейчас?","Vâng... gia đình từng sống ở đây, bây giờ họ ở đâu?"
ch3_janiryan4,Kamar 208? Sudah lama kosong,ch3_ryanjani4,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Janitor,Room 208? It’s been empty for a long time.,208号室？もう長いこと空き部屋だ。,,208호요? 오래전부터 비어 있었대요.,208号房间？早就空了。,Zimmer 208? Es ist schon lange leer.,ห้อง 208 เหรอ? ว่างมานานแล้วนะ,Room 208? Matagal na itong walang laman.,Quarto 208? Está vazio há muito tempo.,Chambre 208 ? Elle est vide depuis longtemps.,¿Habitación 208? Lleva mucho tiempo vacía.,Комната 208? Она уже давно пустует.,Phòng 208 ư? Phòng này bỏ trống lâu rồi.
ch3_ryanjani4,Kosong?,ch3_janiryan5,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,Empty?,空き部屋？,,비어 있었어요?,空的？,Leer?,ว่างเปล่า?,Walang laman?,Vazio?,Vide?,¿Vacío?,Пустой?,Trống?
ch3_janiryan5,Yang terakhir tinggal di sini... ya kamu,ch3_ryanjani5,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Janitor,The last person who lived here... was you.,最後にここにいた人は…君だ。,,마지막으로 여기 사신 분이… 바로 당신이라고 들었어요.,最后住在这里的人……是你。,"Die letzte Person, die hier wohnte… warst du.",คนสุดท้ายที่อาศัยอยู่ที่นี่คือ...คุณ,Ang huling taong nakatira dito... ay ikaw.,A última pessoa que viveu aqui... foi você.,La dernière personne qui a vécu ici... c'était toi.,La última persona que vivió aquí...fuiste tú.,"Последний человек, который здесь жил... был ты.",Người cuối cùng sống ở đây... chính là bạn.
ch3_ryanjani5,...,ch3_ryanjani6,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,...,…,,...,…,…,-,...,...,...,...,...,...
ch3_ryanjani6,(Yang benar saja),ch3_ryanjani7,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,(No way...),（冗談だろ…）,,(정말로요),（你在开玩笑吧……）,(Das kann nicht dein Ernst sein…),(ไม่มีทาง...),(Hindi pwede...),(Sem chance...),(Certainement pas...),(De ninguna manera...),(Ни за что...),(Không đời nào...)
ch3_ryanjani7,"Tapi... ada pria, seumuran denganku. Katanya tinggal di sini",ch3_janiryan6,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,"But... there was a guy, same age as me. He said he lived here.",でも…俺くらいの年の男がいて、ここに住んでるって言ったんだ。,,그런데… 제 또래 남자분이 한 분 있었다고 해요. 여기 산다고 들었는데요.,但是……有一个和我差不多大的男孩，他说他住在这里。,"Aber… da war ein Typ in meinem Alter. Er sagte, er wohne hier.",แต่...มีผู้ชายคนหนึ่ง อายุเท่าฉันเลย เขาบอกว่าเขาอยู่ที่นี่,"Pero... may isang lalaki, kasing edad ko. Dito daw siya nakatira.",Mas... tinha um cara da minha idade. Ele disse que morava aqui.,Mais… il y avait un gars du même âge que moi. Il disait qu'il habitait ici.,Pero... había un chico de mi misma edad. Dijo que vivía aquí.,"Но... там был парень, моего возраста. Он сказал, что живёт здесь.",Nhưng... có một anh chàng cùng tuổi với tôi. Anh ấy nói anh ấy sống ở đây.
ch3_janiryan6,Aku tidak tahu soal itu,ch3_ryanjani8,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,Janitor,I don’t know anything about that.,そんなことは知らない。,,그 부분은 저는 전혀 몰랐어요.,我对此一无所知。,Ich weiß nichts darüber.,ฉันไม่รู้เรื่องนั้นเลย,Wala akong alam tungkol diyan.,Não sei nada sobre isso.,Je n’en sais rien.,No sé nada de eso.,Я ничего об этом не знаю.,Tôi không biết gì về điều đó.
ch3_ryanjani8,.,ch3_ryanjani9,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,.,.,,.,.,.,.,.,.,.,.,.,.
ch3_ryanjani9,..,ch3_ryanjani10,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,..,..,,..,..,..,..,..,..,..,..,..,..
ch3_ryanjani10,...,ch3_ryanjani11,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,...,…,,...,…,…,...,...,...,...,...,...,...
ch3_ryanjani11,Baiklah kalau begitu. Maaf mengganggu,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',true,,Alright then. Sorry to bother you.,じゃあ、失礼します。,,알겠습니다. 방해드려 죄송해요.,那么，打扰了。,"Dann, entschuldige die Störung.",โอเค งั้นขอโทษที่รบกวนนะ,Sige na. Sorry naabala kita.,Tudo bem então. Desculpe incomodá-lo.,Très bien. Désolé de vous déranger.,Está bien entonces. Disculpa la molestia.,Хорошо. Извините за беспокойство.,Được rồi. Xin lỗi vì đã làm phiền bạn.
ch3_questioning,Michael... Apa mungkin dia berbohong? Tapi untuk apa? Dia sendiri yang bilang tinggal di kamar 208,ch3_questioning2,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,Michael... could he have lied? But why? He’s the one who told me he lived in 208.,マイケル…彼は嘘をついたのか？でも、なぜ？208号室に住んでいるって本人が言ったんだ。,,마이클… 혹시 그가 거짓말한 걸까? 근데 왜? 208호에 산다고 한 사람 본인이잖아.,迈克尔……他可能撒谎了？但是为什么？他说他住在208号房间。,"Michael… könnte er gelogen haben? Aber warum? Er sagte, er wohne in Zimmer 208.",ไมเคิล... เขาโกหกเหรอ? แต่ทำไมล่ะ? เขาคือคนที่บอกฉันว่าเขาอยู่ห้อง 208 น่ะ,Michael... nagsinungaling kaya siya? Pero bakit? Siya ang nagsabi sa akin na nakatira siya noong 208.,Michael... será que ele mentiu? Mas por quê? Foi ele quem me disse que morava no 208.,Michael… aurait-il pu mentir ? Mais pourquoi ? C’est lui qui m’a dit qu’il vivait au 208.,Michael... ¿podría haber mentido? ¿Pero por qué? Fue él quien me dijo que vivía en el 208.,"Майкл... мог ли он солгать? Но зачем? Он же сказал мне, что живёт в 208-м.",Michael... anh ấy có thể nói dối sao? Nhưng tại sao? Anh ấy là người nói với tôi rằng anh ấy sống ở phòng 208 mà.
ch3_questioning2,Tapi kamarnya kosong. Bahkan penjaga pun tidak tahu apa-apa,ch3_questioning3,/Script/Engine.DataTable'/Game/Dialogue/Chapter3_Dialogue.Chapter3_Dialogue',false,,But the room is empty. Even the janitor knows nothing.,でも部屋は空っぽだ。警備員さえ何も知らない。,,"근데 방은 비어 있고, 관리인도 아무것도 모른대.",可是房间是空的。连保安都不知道。,Doch das Zimmer ist leer. Selbst der Wachmann weiß nichts.,แต่ห้องนั้นว่างเปล่า แม้แต่ภารโรงก็ไม่รู้อะไรเลย,Pero walang laman ang kwarto. Kahit ang janitor ay walang alam.,Mas o quarto está vazio. Nem o zelador sabe de nada.,Mais la pièce est vide. Même le concierge ne sait rien.,Pero la habitación está vacía. Ni siquiera el conserje sabe nada.,Но комната пуста. Даже уборщик ничего не знает.,Nhưng căn phòng trống rỗng. Ngay cả người gác cổng cũng không biết gì.
