Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU
ch7_letter_1,Post-traumatic stress.. medikasi.. ketergantungan emosional,ch7_letter_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Post-traumatic stress, medication, emotional dependence",心的外傷後ストレス…薬…感情的依存,,외상 후 스트레스… 약물… 감정적 의존,创伤后应激… 药物… 情感依赖,Posttraumatische Belastung… Medikamente… emotionale Abhängigkeit,ความเครียดหลังเหตุการณ์สะเทือนขวัญ ยา การพึ่งพาทางอารมณ์,"Post-traumatic stress, gamot, emosyonal na pag-asa","Estresse pós-traumático, medicação, dependência emocional","Stress post-traumatique, médicaments, dépendance émotionnelle","Estrés postraumático, medicación, dependencia emocional","Посттравматический стресс, прием лекарств, эмоциональная зависимость"
ch7_letter_2,"Lucu ya, betapa mudahnya hidupku dirangkum dalam beberapa paragraf",ch7_letter_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Funny, how my whole life can be summed up in just a few lines",面白いな、俺の人生が数段落でまとめられるなんて,,"재밌네, 내 삶이 이렇게 몇 문단으로 쉽게 요약될 수 있다니",有趣的是，我的生活竟能用几段文字轻易概括,"Lustig, wie leicht mein Leben in ein paar Absätzen zusammengefasst werden kann",ตลกดีที่ชีวิตของฉันทั้งหมดสามารถสรุปได้เพียงไม่กี่บรรทัด,"Nakakatawa, kung paano mabuod ang buong buhay ko sa ilang linya lamang",Engraçado como toda a minha vida pode ser resumida em apenas algumas linhas,C'est drôle comme toute ma vie peut se résumer en quelques lignes,Es curioso cómo toda mi vida se puede resumir en sólo unas pocas líneas.,"Забавно, как всю мою жизнь можно выразить всего в нескольких строках."
ch7_letter_3,...,ch7_letter_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,...,…,,…,…,…,-,...,...,...,...,...
ch7_letter_4,Mereka bilang aku menarik diri,ch7_letter_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,They say I pulled away,引きこもっていると言われた,,사람들은 내가 물러났다고 해,他们说我退出了,"Man sagt, ich hätte mich zurückgezogen",พวกเขาบอกว่าฉันดึงออกไป,Hinila ko daw,Eles dizem que eu me afastei,Ils disent que je me suis éloigné,Dicen que me alejé,"Они говорят, что я отстранился."
ch7_letter_5,Menghindar,ch7_letter_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Avoided people,避けていると,,회피했다고 해,回避,Mich vermieden,คนที่ถูกหลีกเลี่ยง,Iniwasan ang mga tao,Pessoas evitadas,Les gens évités,Personas evitadas,Избегаемые люди
ch7_letter_6,Sulit bicara soal kehilangan,ch7_letter_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,That I could not talk about loss,喪失について話すのが難しい,,상실에 대해 이야기하는 것이 힘들었다고 해,觉得谈论失去很困难,"Es fiel mir schwer, über Verlust zu sprechen",ที่ฉันไม่สามารถพูดถึงการสูญเสียได้,Na hindi ako makapagsalita tungkol sa pagkawala,Que eu não poderia falar sobre a perda,Que je ne pouvais pas parler de perte,Que no podía hablar de la pérdida,Что я не мог говорить о потере
ch7_letter_7,.,ch7_letter_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,.,.,,.,.,.,-,.,.,.,.,.
ch7_letter_8,..,ch7_letter_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,..,..,,..,..,..,-,..,..,..,..,..
ch7_letter_9,Mereka tidak salah,ch7_letter_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,They are not wrong,間違ってはいない,,그들은 틀리지 않았어,他们没错,Sie liegen nicht falsch,พวกเขาไม่ได้ผิด,Hindi sila nagkakamali,Eles não estão errados,Ils n'ont pas tort,No se equivocan,Они не ошибаются.
ch7_letter_10,Tapi membaca ini... rasanya seperti membaca tentang orang lain,ch7_letter_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,But reading this… it feels like I am reading about someone else,でもこれを読むと…他人の話を読んでいるような気がする,,하지만 이걸 읽으면서… 마치 다른 사람 이야기를 읽는 기분이야,但读这些… 感觉像在读别人的故事,"Aber beim Lesen… fühlt es sich an, als würde ich über jemand anderen lesen",แต่อ่านแล้วรู้สึกเหมือนกำลังอ่านเรื่องของคนอื่นเลย,Pero ang pagbabasa nito... parang may iba akong binabasa,Mas lendo isso… parece que estou lendo sobre outra pessoa,Mais en lisant ceci… j’ai l’impression de lire l’histoire de quelqu’un d’autre.,Pero leyendo esto… siento que estoy leyendo sobre otra persona.,"Но читая это... такое чувство, будто я читаю о ком-то другом."
ch7_letter_11,"Dan tetap saja, tidak ada satu kata pun yang asing bagiku",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,"And yet, every word is still familiar",それでも、一言も知らない言葉はない,,"그럼에도 불구하고, 한 마디도 낯설게 느껴지지 않아",然而，没有一句话让我感到陌生,Und trotzdem fühlt sich kein einziges Wort fremd an,แต่ทุกคำก็ยังคงคุ้นเคย,"At gayon pa man, pamilyar pa rin ang bawat salita","E ainda assim, cada palavra ainda é familiar","Et pourtant, chaque mot est toujours familier","Y aún así, cada palabra sigue siendo familiar.",И все же каждое слово по-прежнему знакомо.
ch7_window_1,Dulu aku menghabiskan waktu di sana..,ch7_window_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I used to spend all my time there,昔はそこで時間を過ごしていた…,,난 거기서 시간을 보내곤 했어…,我曾在那里度过时光…,Früher habe ich dort meine Zeit verbracht…,ฉันเคยใช้เวลาอยู่ที่นั่นตลอดเวลา,Doon ko ginugol ang lahat ng oras ko,Eu costumava passar todo meu tempo lá,J'avais l'habitude de passer tout mon temps là-bas,Solía ​​pasar todo mi tiempo allí.,Я проводил там всё своё время.
ch7_window_2,"bermain, tertawa, menang",ch7_window_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Playing, laughing, winning",遊び、笑い、勝つ,,"놀고, 웃고, 이기며",打球、笑、赢得比赛,"Spielen, Lachen, Gewinnen",การเล่น การหัวเราะ การชนะ,"Naglalaro, nagtatawanan, nanalo","Jogando, rindo, ganhando","Jouer, rire, gagner","Jugando, riendo, ganando","Играя, смеясь, побеждая"
ch7_window_3,Lapangan itu seperti rumah kedua,ch7_window_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,That court felt like a second home,あのコートは第二の家のように感じた,,그 코트는 두 번째 집처럼 느껴졌어,那个球场就像第二个家,Dieses Spielfeld fühlte sich wie ein zweites Zuhause an,ศาลนั้นก็เหมือนบ้านหลังที่สอง,Ang korte na iyon ay parang pangalawang tahanan,Aquela corte parecia um segundo lar,Ce tribunal était comme une seconde maison,Esa cancha se sentía como un segundo hogar.,Этот суд был для меня как второй дом.
ch7_window_4,Segala ambisi dan harapan pernah kutitipkan di garis tiga poinnya,ch7_window_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,All my hopes and dreams once lived behind that three point line,かつて三ポイントラインにすべての希望と野望を託した,,한때 내 모든 야망과 희망을 3점 라인에 맡겼지,我曾把所有的野心和希望寄托在三分线,Einmal habe ich all meinen Ehrgeiz und meine Hoffnung der Dreipunktlinie anvertraut,ความหวังและความฝันทั้งหมดของฉันเคยอยู่หลังเส้นสามแต้มนั้น,Lahat ng aking pag-asa at pangarap ay minsang nabuhay sa likod ng tatlong puntong linyang iyon,Todas as minhas esperanças e sonhos viveram atrás daquela linha de três pontos,Tous mes espoirs et mes rêves vivaient autrefois derrière cette ligne à trois points,Todas mis esperanzas y sueños alguna vez vivieron detrás de esa línea de tres puntos.,Все мои надежды и мечты когда-то жили за этой трёхочковой линией.
ch7_window_5,"Kini, hanya dengan melihatnya saja... ",ch7_window_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Now, just looking at it…",今、ただ見ているだけで…,,"지금, 그냥 바라보기만 해도…",现在，只是看着它…,"Jetzt, nur beim Anblick…",ตอนนี้แค่ดูมัน…,"Ngayon, nakatingin lang...","Agora, só olhando…","Maintenant, rien qu'en le regardant...","Ahora, sólo mirándolo…",А теперь просто взгляните на это...
ch7_window_6,dadaku terasa sesak,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,my chest feels heavy,胸が締め付けられる,,가슴이 답답해,我的胸口感到压抑,fühlt sich meine Brust eng an,ฉันรู้สึกหนักอก,ang bigat ng dibdib ko,meu peito está pesado,ma poitrine est lourde,mi pecho se siente pesado,моя грудь тяжелеет
ch7_mikey_0,Jadi... kamu itu aku,ch7_mikey_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,So... you are me.,だから…お前は俺だ,,그래… 넌 나야,所以… 你就是我,Also… du bist ich,แล้วคุณก็คือฉัน,Kaya... ikaw ay akin.,Então... você sou eu.,Alors... tu es moi.,Entonces... eres yo.,Так вот... ты — это я.
ch7_mikey_1,"Kau menciptakanku, memberiku wajah idolamu...",ch7_mikey_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,You shaped me… gave me the face of someone you once adored,君は僕を作り上げた…かつて憧れていたその顔を僕に与えて。,,너는 나를 만들어냈지. 네가 롤모델로 삼는 얼굴을 씌워서…,是你创造了我……把你曾经崇拜的面孔套在我身上。,"Du hast mich erschaffen… mir das Gesicht gegeben, das du einst angebetet hast.",คุณได้สร้างฉันขึ้นมา… ทำให้ฉันกลายเป็นคนที่คุณเคยชื่นชม,Hinubog mo ako... ibinigay sa akin ang mukha ng isang taong minsan mong minahal,Você me moldou... me deu o rosto de alguém que você um dia adorou,Tu m’as façonné… tu m’as donné le visage de quelqu’un que tu adorais autrefois,Me formaste… me diste el rostro de alguien a quien alguna vez adoraste,"Ты сформировал меня… дал мне лицо того, кого ты когда-то обожал."
ch7_mikey_2,agar terasa nyata bagimu.,ch7_mikey_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,So it feels real to you,君にとって本物のように感じられるように。,,너에게 진짜처럼 느껴지도록.,让你觉得这是真的。,Damit es sich für dich echt anfühlt.,คุณรู้สึกว่ามันจริงสำหรับคุณ,Kaya totoo ang pakiramdam mo,Então parece real para você,Donc ça te semble réel,Así que te parece real,Чтобы это ощущалось для тебя реальным
ch7_mikey_3,Aku benci kamu,ch7_mikey_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I hate you,俺はお前を憎む,,난 널 미워해,我恨你,Ich hasse dich,ฉันเกลียดคุณ,Galit ako sayo,te odeio,Je te déteste,Te odio,я тебя ненавижу
ch7_mikey_4,Karena kamu punya semua yang pernah jadi milikku,ch7_mikey_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Because you have everything that once belonged to me,だってお前はかつて俺のものだったすべてを持っている,,왜냐하면 네가 내가 한때 가졌던 모든 것을 가지고 있으니까,因为你拥有我曾经拥有的一切,"Weil du alles hast, was ich einst hatte",เพราะเธอมีทุกสิ่งทุกอย่างที่เคยเป็นของฉัน,Dahil nasa iyo ang lahat ng bagay na minsang pag-aari ko,Porque você tem tudo que um dia me pertenceu,Parce que tu as tout ce qui m'appartenait autrefois,Porque tienes todo lo que una vez me perteneció,"Потому что у тебя есть все, что когда-то принадлежало мне."
ch7_mikey_5,"Keluarga, tawa, rumah yang utuh...",ch7_mikey_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"A family, laughter, a whole home…",家族、笑い、完全な家…,,"가족, 웃음, 온전한 집…",家庭、笑声、完整的家…,"Familie, Lachen, ein ganzes Zuhause…",ครอบครัว เสียงหัวเราะ บ้านทั้งหลัง…,"Isang pamilya, tawanan, isang buong tahanan...","Uma família, risadas, uma casa inteira…","Une famille, des rires, toute une maison…","Una familia, risas, todo un hogar…","Семья, смех, целый дом…"
ch7_mikey_6,Sementara aku cuma disisakan reruntuhannya,ch7_mikey_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,While I was left only with the ruins,俺は残骸しか残されていない,,난 폐허만 남았어,而我只剩下废墟,Während ich nur mit den Ruinen zurückbleibe,ขณะที่ฉันเหลือเพียงซากปรักหักพัง,Habang ako ay naiwan lamang sa mga guho,Enquanto eu fiquei apenas com as ruínas,Alors qu'il ne me restait que les ruines,Mientras que a mí solo me quedaron las ruinas,А мне остались только руины.
ch7_mikey_7,Padahal aku cuma menunggu kamu untuk sadar,ch7_mikey_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,All this time I was just waiting for you to realize,この間ずっと、ただお前が気づくのを待っていた,,그동안 난 단지 네가 깨닫기를 기다렸어,这段时间，我只是等你意识到,"Die ganze Zeit habe ich nur darauf gewartet, dass du erkennst",ตลอดเวลานี้ฉันแค่รอให้คุณรู้,All this time hinihintay ko lang na marealize mo,Todo esse tempo eu estava apenas esperando você perceber,"Pendant tout ce temps, j'attendais juste que tu réalises",Todo este tiempo estuve esperando que te dieras cuenta,"Все это время я просто ждал, когда ты поймешь"
ch7_mikey_8,kalau kita harus hadapi ini bersama,ch7_mikey_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,that we have to face this together,一緒にこれを乗り越えなければならないと,,우리가 함께 맞서야 한다는 걸,我们必须一起面对,dass wir dem gemeinsam gegenüberstehen müssen,ที่เราจะต้องเผชิญเรื่องนี้ร่วมกัน,na kailangan nating harapin ito ng magkasama,que temos que enfrentar isso juntos,que nous devons affronter cela ensemble,que tenemos que afrontar esto juntos,что мы должны противостоять этому вместе
ch7_mikey_9,Aku kehilangan semuanya,ch7_mikey_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I lost everything,俺はすべてを失った,,난 모든 걸 잃었어,我失去了一切,Ich habe alles verloren,ฉันสูญเสียทุกสิ่งทุกอย่าง,Nawala ko lahat,Eu perdi tudo,J'ai tout perdu,Lo perdí todo,Я потерял все.
ch7_mikey_10,"Kamu tidak benar-benar sendirian, Ryan",ch7_mikey_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,"You are not truly alone, Ryan",ライアン、お前は本当に一人じゃない,,"넌 혼자가 아니야, 라이언",你并不孤单，Ryan,"Du bist nicht wirklich allein, Ryan",คุณไม่ได้อยู่คนเดียวจริงๆ ไรอัน,"Hindi ka talaga nag-iisa, Ryan","Você não está realmente sozinho, Ryan","Tu n'es pas vraiment seul, Ryan","No estás realmente solo, Ryan","Ты на самом деле не одинок, Райан."
ch7_mikey_11,Aku selalu di sini,ch7_mikey_12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,I have always been here,俺はいつもここにいる,,난 항상 여기 있었어,我一直在这里,Ich war immer hier,ฉันอยู่ที่นี่มาตลอด,Lagi akong nandito,Eu sempre estive aqui,J'ai toujours été là,Siempre he estado aquí,Я всегда был здесь.
ch7_mikey_12,Menunggu kamu datang...,ch7_mikey_13,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,Waiting for you to come…,お前が来るのを待っている…,,네가 오기를…,等你来…,"Warte darauf, dass du kommst…",รอคุณมา…,Naghihintay sa iyong pagdating…,Esperando você chegar…,En attendant que tu viennes…,Esperando que vengas…,"Жду, когда ты придешь…"
ch7_mikey_13,dan berani melepaskan,ch7_mikey_14,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,and dare to let go,そして手放す勇気を持つのを,,그리고 놓을 용기를 가지기를 기다리면서,并有勇气放手,"und den Mut findest, loszulassen",และกล้าที่จะปล่อยไป,at maglakas-loob na bumitaw,e ouse deixar ir,et osez lâcher prise,y atrevete a dejarlo ir,и осмелиться отпустить
ch7_mikey_14,Aku lelah hidup di ruangan ini,ch7_mikey_15,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I am tired of living in this room,この部屋で生きるのはもう疲れた,,난 이 방에서 사는 게 지쳤어,我厌倦了待在这个房间,"Ich bin es leid, in diesem Zimmer zu leben",ฉันเบื่อที่จะอยู่ในห้องนี้แล้ว,Pagod na akong tumira sa kwartong ito,Estou cansado de viver neste quarto,Je suis fatigué de vivre dans cette pièce,Estoy cansado de vivir en esta habitación.,Мне надоело жить в этой комнате.
ch7_mikey_15,Sudah waktunya keluar,ch7_mikey_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,It’s time to step out,外に出る時だ,,밖으로 나설 시간이에요,是时候走出去,Es ist Zeit hinauszugehen,ถึงเวลาที่จะก้าวออกไป,Oras na para lumabas,É hora de sair,Il est temps de sortir,Es hora de salir,Пришло время сделать шаг вперед.
ch7_mikey_16,Tenang saja...,ch7_mikey_17,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,Don’t worry…,心配するな…,,걱정하지 마…,别担心…,Keine Sorge…,ไม่ต้องกังวล…,huwag mag-alala…,Não se preocupe…,Ne t'inquiète pas…,No te preocupes…,Не волнуйся…
ch7_mikey_17,aku yang akan jaga di sini,ch7_mikey_18,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,You just move on,俺がここを見守る,,여기서 내가 지킬게,我会在这里守护,Ich werde hier aufpassen,คุณแค่เดินหน้าต่อไป,Move on ka lang,Você simplesmente segue em frente,Tu continues simplement,Tú simplemente sigue adelante,Ты просто двигаешься дальше.
ch7_mikey_18,.,ch7_mikey_19,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,.,.,,.,.,.,-,.,.,.,.,.
ch7_mikey_19,..,ch7_mikey_20,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,..,..,,..,..,..,-,..,..,..,..,..
ch7_mikey_20,...,ch7_mikey_21,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,...,…,,...,...,...,-,...,...,...,...,...
ch7_mikey_21,Kunci rapat ya,ch7_mikey_22,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,Lock it tight,しっかり鍵をかけろ,,단단히 잠가,锁好它,Schließ es gut ab,ล็อคให้แน่น,I-lock ito ng mahigpit,Tranque bem,Verrouillez-le fermement,Ciérralo bien,Запри его крепко
ch7_mikey_22,Tapi jangan buang kuncinya.,ch7_mikey_23,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,But don’t throw away the key.,でも、鍵は捨てるな,,하지만 열쇠는 버리지 마,但不要扔掉钥匙,Aber wirf den Schlüssel nicht weg,แต่อย่าทิ้งกุญแจไป,Ngunit huwag itapon ang susi.,Mas não jogue a chave fora.,Mais ne jetez pas la clé.,Pero no tires la llave.,Но не выбрасывайте ключ.
ch7_mikey_23,"Kadang... kamu bisa mampir, hanya untuk mengingat,",ch7_mikey_24,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,"Sometimes… you can stop by, just to remember,",時々…思い出すために戻ってきてもいい、,,"가끔… 들러서, 기억만 하고 가",有时… 你可以顺道来，只是为了回忆，,"Manchmal… kannst du vorbeikommen, nur um dich zu erinnern,",บางครั้ง… คุณสามารถแวะมาเพื่อรำลึกถึง,"Minsan... pwede kang huminto, para lang maalala,","Às vezes… você pode passar por aqui, só para lembrar,","Parfois… vous pouvez passer, juste pour vous souvenir,","A veces… puedes pasar por aquí, sólo para recordar,","Иногда... можно зайти, просто чтобы вспомнить,"
